Category,Vendor,Item Number,Item Description,Quantity Per Package,Cost Per Package,Number of Packages,Item Total Cost,Part Link,"Symbol, Layout, & 3D Model Link",Comments,Designation on Mouse 7.0 Test,Designation on Mouse 7.0 PCB
,Amazon,B07KY8GK5W,"uxcell 10pcs Round Steel Metal Rods, 3mm x 100mm High Speed Steel (HSS) Lathe Bar Stock Tool, for Shaft Gear Drill Lathes Boring Machine Turning Miniature DIY Craft, 10pcs",10,$7.49,1,$7.49,https://www.amazon.com/uxcell-Lathe-Round-Solid-Length/dp/B07KY8GK5W?crid=2V4Q6CHLHMBKS&dib=eyJ2IjoiMSJ9.4hy5vj8DGZl3ELKrH6zt6vbcn0ILlKQ8tqzfE5SzKBPWDEw-k3wrl__fe4F5cpHhtrh5Gr6Fz8zuraO6GKXJw2UTLaig1PjKlBxDm6rgdRKynbMZGMt3N_tzdXXaGbtsQYw6cfW-eBM6OoG05vPVJpUwQRYcjlEJq9BgXAF2G-fqfzsLoXIIHng0Ajc2Qrgk13vc_ADSDYqsryD03c9-j5Y1XbCma2gn_Bkzfj8Py5Q.-2cdBWTSOqjLXIZt2mVcQBBFGKG6BJhcQQls5UhFd4w&dib_tag=se&keywords=3mm%2Bd%2Bshaft&qid=1778181816&sprefix=3mm%2Bd%2Bshaf%2Caps%2C276&sr=8-4&th=1,,- 3mm shafts to loosen the driving gear before attaching to gear motor,new,
,Pololu,1087,Black plastic wheels with silicone tires,2,$4.95,1,$4.95,https://www.pololu.com/product/1087,,"- Wheels, 32mm diameter, 3mm D output shaft
- we'll use just the rubber tire and make a custom wheel",,
,Amazon,B09NCCXPGM,"CQRobot 100 Sets/800 Pieces 1.5 mm Pitch JST ZH 6-Pin IC Sockets & Plugs Adapter Connector Male and Female Terminal, Crimp DIP Kit. for Industrial Integrated Circuit JST Connector Cable.",100,$9.58,1,$9.58,https://www.amazon.com/CQRobot-Connector-Terminal-Industrial-Integrated/dp/B09NCCXPGM/ref=sr_1_4?crid=2C48JYA7JGQ5Q&keywords=micro%2Bjst%2Bconnector%2Bkit&qid=1698190590&sprefix=micro%2Bjst%2Bconnector%2Bkit%2Caps%2C100&sr=8-4&th=1,"https://www.jst-mfg.com/product/index.php?series=290
https://app.ultralibrarian.com/details/6e868fff-65ca-11eb-9033-0a34d6323d74/JST/B6B-ZR-LF-SN-?uid=248825",- JST ZH 6 position male (receptacle) TH connector,,
,Amazon,B07FW18RQY,"uxcell 683ZZ Ball Bearing 3mm x 7mm x 3mm Double Shielded Deep Groove Bearings, Carbon Steel 20pcs",20,$7.99,4,$7.99,https://www.amazon.com/uxcell-Bearing-Double-Shielded-Bearings/dp/B07FW18RQY/ref=sr_1_7?crid=3G5J7PPIQSWWF&keywords=small+ball+bearings&qid=1699846362&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sprefix=tiny+ball+bearings%2Caps%2C76&sr=8-7#customerReviews,,- 3mm ball bearings to be embedded into custom wheels,,
,Amazon,B0BKRQSMFL,"FOLIV 700PCS M3 x 5/6/8/10/12/14/16/18/20/25/30mm Button Hex Head Cap Screws M3 Metric Machine Screws Bolts Nuts Washer Assortment Kit, 10.9 Grade Alloy Steel",10-50,$15.29,1,$15.29,https://www.amazon.com/gp/product/B0BKRQSMFL/ref=ox_sc_act_title_1?smid=A3ILXS83DKRO8O&th=1,,- M3 button head screws to serve as wheel axels,,
,Digikey,1727-7806-1-ND,DIODE SCHOTTKY 60V 3A SOD123W,1,$0.39,8,$3.12,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PMEG60T30ELRX/9086223,https://app.ultralibrarian.com/details/785255d6-6dbf-11ee-9288-0ae0a3b49db5/Nexperia/PMEG60T30ELRX?uid=89940784&exports=ThreeDModel&exports=Eagle&open=exports,- Flyback diodes for EMF protection,,
,Digikey,1772-4071-ND,ROUND SPACER M3 SS 2MM,1,$1.51,4,$6.04,https://www.digikey.com/en/products/detail/raf-electronic-hardware/M0501-3-SS/10073266,,"- M3 2mm thick spacers to put between wheel and mount
- 4.5mm diameter",,
,Pololu,3407,Silicone Tire Pair for 32×7mm Pololu Wheels,2,$2.35,4,$4.70,https://www.pololu.com/product/3407,n/a,- 32mm diameter tires,,
,,,,,,,,,,,,
,,,,,,,,,,,,
